,0,1,2,Xt
0,850.0,800.0,700.0,675.0
1,800.0,700.0,675.0,625.0
2,700.0,675.0,625.0,625.0
3,675.0,625.0,625.0,775.0
4,625.0,625.0,775.0,750.0
5,625.0,775.0,750.0,800.0
6,775.0,750.0,800.0,1050.0
7,750.0,800.0,1050.0,1100.0
8,800.0,1050.0,1100.0,1075.0
9,1050.0,1100.0,1075.0,1125.0
10,1100.0,1075.0,1125.0,925.0
11,1075.0,1125.0,925.0,750.0
12,1125.0,925.0,750.0,625.0
13,925.0,750.0,625.0,575.0
14,750.0,625.0,575.0,600.0
15,625.0,575.0,600.0,575.0
16,575.0,600.0,575.0,575.0
17,600.0,575.0,575.0,600.0
18,575.0,575.0,600.0,725.0
19,575.0,600.0,725.0,875.0
20,600.0,725.0,875.0,850.0
21,725.0,875.0,850.0,775.0
22,875.0,850.0,775.0,675.0
23,850.0,775.0,675.0,725.0
24,775.0,675.0,725.0,700.0
25,675.0,725.0,700.0,675.0
26,725.0,700.0,675.0,800.0
27,700.0,675.0,800.0,850.0
28,675.0,800.0,850.0,850.0
29,800.0,850.0,850.0,800.0
30,850.0,850.0,800.0,750.0
31,850.0,800.0,750.0,700.0
32,800.0,750.0,700.0,700.0
33,750.0,700.0,700.0,700.0
34,700.0,700.0,700.0,675.0
35,700.0,700.0,675.0,675.0
36,700.0,675.0,675.0,675.0
37,675.0,675.0,675.0,750.0
38,675.0,675.0,750.0,800.0
39,675.0,750.0,800.0,870.0
40,750.0,800.0,870.0,930.0
41,800.0,870.0,930.0,1160.0
42,870.0,930.0,1160.0,1020.0
43,930.0,1160.0,1020.0,1200.0
44,1160.0,1020.0,1200.0,1100.0
45,1020.0,1200.0,1100.0,1090.0
46,1200.0,1100.0,1090.0,790.0
47,1100.0,1090.0,790.0,730.0
48,1090.0,790.0,730.0,820.0
49,790.0,730.0,820.0,850.0
50,730.0,820.0,850.0,910.0
51,820.0,850.0,910.0,880.0
52,850.0,910.0,880.0,840.0
53,910.0,880.0,840.0,890.0
54,880.0,840.0,890.0,1130.0
55,840.0,890.0,1130.0,940.0
56,890.0,1130.0,940.0,880.0
57,1130.0,940.0,880.0,1050.0
58,940.0,880.0,1050.0,1190.0
